"Well","Cycle","Target","Rn","dRn","Treatment","Minutes","Replica"
"A3",22,"RPL3_e9e10",6.9247,5.6617,"297","0","1"
"A3",23,"RPL3_e9e10",7.6146,6.3517,"297","0","1"
"A3",24,"RPL3_e9e10",8.2522,6.9893,"297","0","1"
"A3",25,"RPL3_e9e10",8.8733,7.6103,"297","0","1"
"A3",26,"RPL3_e9e10",9.4446,8.1817,"297","0","1"
"A3",27,"RPL3_e9e10",9.9574,8.6945,"297","0","1"
"A3",28,"RPL3_e9e10",10.4713,9.2084,"297","0","1"
"A3",29,"RPL3_e9e10",10.9207,9.6578,"297","0","1"
"A3",30,"RPL3_e9e10",11.3586,10.0957,"297","0","1"
"A3",31,"RPL3_e9e10",11.7612,10.4983,"297","0","1"
"A3",32,"RPL3_e9e10",12.1136,10.8507,"297","0","1"
"A3",33,"RPL3_e9e10",12.4917,11.2288,"297","0","1"
"A3",34,"RPL3_e9e10",12.766,11.5031,"297","0","1"
"A3",35,"RPL3_e9e10",13.1187,11.8558,"297","0","1"
"A3",36,"RPL3_e9e10",13.3651,12.1021,"297","0","1"
"A3",37,"RPL3_e9e10",13.6255,12.3626,"297","0","1"
"A3",38,"RPL3_e9e10",13.8737,12.6108,"297","0","1"
"A3",39,"RPL3_e9e10",14.0854,12.8224,"297","0","1"
"A3",40,"RPL3_e9e10",14.3005,13.0376,"297","0","1"
"A4",1,"RPL3_e9e10",1.0887,-0.001,"297","0","2"
"A4",2,"RPL3_e9e10",1.1013,0.0024,"297","0","2"
"A4",3,"RPL3_e9e10",1.1095,0.0014,"297","0","2"
"A4",4,"RPL3_e9e10",1.116,-0.0013,"297","0","2"
"A4",5,"RPL3_e9e10",1.125,-0.0015,"297","0","2"
"A4",6,"RPL3_e9e10",1.1372,0.0015,"297","0","2"
"A4",7,"RPL3_e9e10",1.1405,-0.0044,"297","0","2"
"A4",8,"RPL3_e9e10",1.1524,-0.0018,"297","0","2"
"A4",9,"RPL3_e9e10",1.169,0.0056,"297","0","2"
"A4",10,"RPL3_e9e10",1.1923,0.0197,"297","0","2"
"A4",11,"RPL3_e9e10",1.2303,0.0485,"297","0","2"
"A4",12,"RPL3_e9e10",1.3028,0.1117,"297","0","2"
"A4",13,"RPL3_e9e10",1.4315,0.2313,"297","0","2"
"A4",14,"RPL3_e9e10",1.6844,0.475,"297","0","2"
"A4",15,"RPL3_e9e10",2.0971,0.8785,"297","0","2"
"A4",16,"RPL3_e9e10",2.6601,1.4322,"297","0","2"
"A4",17,"RPL3_e9e10",3.3062,2.0691,"297","0","2"
"A4",18,"RPL3_e9e10",3.9791,2.7328,"297","0","2"
"A4",19,"RPL3_e9e10",4.6927,3.4372,"297","0","2"
"A4",20,"RPL3_e9e10",5.3987,4.134,"297","0","2"
"A4",21,"RPL3_e9e10",6.1301,4.8561,"297","0","2"
"A4",22,"RPL3_e9e10",6.8071,5.5239,"297","0","2"
"A4",23,"RPL3_e9e10",7.419,6.1267,"297","0","2"
"A4",24,"RPL3_e9e10",8.0102,6.7086,"297","0","2"
"A4",25,"RPL3_e9e10",8.5669,7.2561,"297","0","2"
"A4",26,"RPL3_e9e10",9.0595,7.7395,"297","0","2"
"A4",27,"RPL3_e9e10",9.5005,8.1713,"297","0","2"
"A4",28,"RPL3_e9e10",9.9276,8.5891,"297","0","2"
"A4",29,"RPL3_e9e10",10.3052,8.9575,"297","0","2"
"A4",30,"RPL3_e9e10",10.6489,9.292,"297","0","2"
"A4",31,"RPL3_e9e10",10.9522,9.5862,"297","0","2"
"A4",32,"RPL3_e9e10",11.2762,9.9009,"297","0","2"
"A4",33,"RPL3_e9e10",11.5311,10.1466,"297","0","2"
"A4",34,"RPL3_e9e10",11.7508,10.3571,"297","0","2"
"A4",35,"RPL3_e9e10",11.9707,10.5678,"297","0","2"
"A4",36,"RPL3_e9e10",12.1952,10.7831,"297","0","2"
"A4",37,"RPL3_e9e10",12.3984,10.977,"297","0","2"
"A4",38,"RPL3_e9e10",12.633,11.2024,"297","0","2"
"A4",39,"RPL3_e9e10",12.7532,11.3134,"297","0","2"
"A4",40,"RPL3_e9e10",12.9282,11.4792,"297","0","2"
"A5",1,"RPL3_e9e10",1.1217,-0.0048,"297","40","1"
"A5",2,"RPL3_e9e10",1.1293,-0.0046,"297","40","1"
"A5",3,"RPL3_e9e10",1.1408,-6e-04,"297","40","1"
"A5",4,"RPL3_e9e10",1.1491,3e-04,"297","40","1"
"A5",5,"RPL3_e9e10",1.1581,0.002,"297","40","1"
"A5",6,"RPL3_e9e10",1.1609,-0.0027,"297","40","1"
