#Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
#Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
#Experiment Run End Time;2017-02-17 12:25:38 PM CET;;;;;;;;;;;;;;;;;;;;;;;;
#Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
#Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Ct;Ct Mean;Ct SD;dCt;?C? Mean;?C? SE;HK Control ?C? Mean;HK Control ?C? SE;??C?;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;NOISE
H8;6h +;IL1B;UNKNOWN;SYBR;None;3.620597601;;;18.51349449;18.51349449;;;3.322617531;;;;-1.856227875;WAHR;0.856284854;WAHR;3;11;1;;N
H9;7h +;IL1B;UNKNOWN;SYBR;None;4.033599377;;;18.12315559;18.12315559;;;3.166777611;;;;-2.012067795;WAHR;0.856284854;WAHR;3;9;1;;N
H10;8h +;IL1B;UNKNOWN;SYBR;None;4.031435013;;;18.23762321;18.23762321;;;3.167551994;;;;-2.011293411;WAHR;0.856284854;WAHR;3;10;1;;N
H11;9h +;IL1B;UNKNOWN;SYBR;None;4.955506325;;;18.43439484;18.43439484;;;2.869812965;;;;-2.30903244;WAHR;0.856284854;WAHR;3;9;1;;N
H12;10h +;IL1B;UNKNOWN;SYBR;None;3.049936056;;;19.4835186;19.4835186;;;3.570066452;;;;-1.608778954;WAHR;0.856284854;WAHR;3;10;1;;N
#;;;;;;;;;;;;;;;;;;;;;;;;;
#Analysis Type;Singleplex;;;;;;;;;;;;;;;;;;;;;;;;
#Endogenous Control;RPL3;;;;;;;;;;;;;;;;;;;;;;;;
#RQ Min/Max Confidence Level;95.0;;;;;;;;;;;;;;;;;;;;;;;;
#Reference Sample;0h;;;;;;;;;;;;;;;;;;;;;;;;
